id,category,firstType,secondType,tag
281,domain,垂直,音乐,影视视频
282,domain,垂直,女性,靓丽女性
284,domain,垂直,财经,金融财经
285,domain,SNS,社交,社交
286,domain,SNS,社交,社交
289,domain,垂直,其它,产业经济
290,domain,垂直,游戏,游戏
292,domain,垂直,汽车,新车资讯
296,domain,垂直,IT科技,基础网服
297,domain,垂直,财经,金融财经
298,domain,垂直,汽车,旧车汽配
299,company,搜索,搜索,搜索导航
301,domain,垂直,财经,产业经济
302,domain,SNS,BBS,社交
303,domain,垂直,其它,奢侈品
305,domain,垂直,生活,旅游地图
306,domain,垂直,音乐,音乐乐器
308,domain,垂直,其它,金融财经
309,domain,垂直,体育,高档运动
311,domain,电商,B2C,时尚媒体
315,domain,其它,其它,娱乐休闲
317,domain,垂直,音乐,音乐乐器
318,domain,视频,UGC,影视视频
319,domain,垂直,其它,基础网服
320,domain,垂直,音乐,音乐乐器
321,domain,垂直,军事,军事政治
322,domain,垂直,其它,时尚媒体
323,domain,垂直,体育,体育运动
325,domain,视频,UGC,基础网服
327,domain,垂直,IT科技,产业经济
328,domain,视频,客户端,影视视频
333,domain,垂直,音乐,音乐乐器
334,domain,垂直,音乐,音乐乐器
338,domain,垂直,财经,产业经济
339,domain,门户,新闻,时事政治
340,domain,垂直,生活,时尚媒体
341,domain,垂直,母婴,母婴
342,domain,垂直,IT科技,科技资讯
347,domain,门户,新闻,科技资讯
348,domain,垂直,财经,产业经济
349,domain,门户,新闻,产业经济
350,domain,垂直,IT科技,产业经济
351,domain,垂直,财经,产业经济
352,domain,垂直,其它,教育培训
3359,domain,垂直,IT科技,
354,domain,垂直,其它,动漫卡通
355,domain,SNS,社交,社交
356,domain,视频,UGC,影视视频
357,domain,门户,地方,社交
358,domain,门户,新闻,产业经济
359,domain,垂直,其它,动漫卡通
360,domain,垂直,IT科技,科技资讯
361,domain,垂直,IT科技,科技资讯
362,domain,垂直,财经,产业经济
364,domain,垂直,IT科技,科技资讯
365,domain,垂直,IT科技,消费数码
367,domain,垂直,IT科技,消费数码
368,domain,门户,新闻,招商引资
369,domain,门户,综合,时事政治
371,domain,门户,地方,时事政治
379,domain,垂直,财经,产业经济
381,domain,门户,地方,时事政治
382,domain,门户,地方,时事政治
383,domain,门户,地方,时事政治
385,domain,门户,地方,时事政治
386,domain,门户,地方,时事政治
387,domain,门户,地方,时事政治
388,domain,门户,地方,时事政治
389,domain,门户,地方,旅游地图
401,domain,垂直,音乐,音乐乐器
402,domain,垂直,女性,靓丽女性
405,domain,垂直,其它,体育运动
406,domain,垂直,其它,时尚媒体
407,domain,视频,UGC,影视视频
409,domain,SNS,社交,音乐乐器
439,domain,SNS,社交,社交
440,domain,门户,综合,时事政治
480,domain,视频,UGC,影视视频
494,domain,垂直,IT科技,消费数码
533,domain,垂直,女性,靓丽女性
535,domain,其它,其它,时尚媒体
543,union,网盟,综合网盟,门户
545,domain,垂直,汽车,旧车汽配
554,union,网盟,综合网盟,门户
555,domain,垂直,生活,餐饮美食
560,domain,垂直,女性,靓丽女性
561,domain,搜索,搜索,文献翻译
562,domain,垂直,其它,时尚媒体
567,domain,垂直,生活,时尚媒体
568,domain,垂直,生活,时尚媒体
569,domain,SNS,社交,时尚媒体
570,domain,电商,B2C,时尚媒体
571,domain,垂直,生活,娱乐休闲
573,domain,视频,版权,门户
574,domain,垂直,女性,靓丽女性
575,domain,门户,综合,产业经济
576,domain,垂直,其它,科技资讯
578,domain,垂直,其它,科技资讯
579,domain,垂直,其它,科技资讯
580,domain,垂直,其它,科技资讯
581,domain,垂直,IT科技,科技资讯
582,domain,垂直,IT科技,科技资讯
585,domain,垂直,其它,健康医疗
587,domain,搜索,搜索,门户
588,domain,其它,其它,动漫卡通
589,domain,其它,其它,招商引资
591,domain,垂直,其它,招商引资
592,domain,垂直,其它,装修建材
593,domain,门户,新闻,招商引资
594,domain,垂直,其它,装修建材
595,domain,垂直,其它,招商引资
596,domain,垂直,文学,文献翻译
599,domain,门户,新闻,旅游地图
600,domain,垂直,其它,教育培训
602,domain,垂直,其它,招商引资
603,domain,垂直,其它,招商引资
604,domain,垂直,其它,招聘求职
605,domain,电商,B2C,电子商务
606,domain,垂直,其它,招商引资
607,domain,垂直,其它,基础网服
1001,domain,搜索,搜索,文学阅读
1002,domain,电商,B2C,电子商务
1004,domain,SNS,BBS,门户
1005,domain,其它,其它,科技资讯
1006,domain,垂直,女性,靓丽女性
1007,domain,门户,新闻,门户
1008,union,网盟,综合网盟,门户
1009,domain,垂直,生活,时尚媒体
1010,domain,垂直,其它,教育培训
1011,domain,垂直,其它,教育培训
1012,domain,垂直,IT科技,招商引资
1013,domain,垂直,体育,体育运动
1014,domain,垂直,体育,体育运动
1015,domain,垂直,财经,金融财经
1017,domain,垂直,IT科技,消费数码
1018,domain,垂直,IT科技,消费数码
1019,domain,垂直,IT科技,科技资讯
1020,domain,垂直,IT科技,科技资讯
1021,domain,其它,其它,科技资讯
1022,domain,门户,地方,时事政治
1023,domain,门户,地方,时事政治
1024,domain,门户,地方,时事政治
1025,domain,门户,地方,时事政治
1026,domain,门户,地方,时事政治
1027,domain,SNS,BBS,社交
1028,domain,门户,综合,游戏
1029,domain,垂直,IT科技,基础网服
1031,domain,SNS,社交,婚恋
1032,domain,垂直,生活,时尚媒体
1033,domain,门户,地方,门户
1034,domain,门户,地方,门户
1035,domain,垂直,IT科技,科技资讯
1036,domain,垂直,其它,科技资讯
1037,domain,门户,综合,时事政治
1039,domain,其它,其它,科技资讯
1040,domain,SNS,社交,时尚媒体
1041,domain,门户,新闻,时事政治
1042,domain,垂直,旅游,旅游地图
1043,domain,垂直,体育,体育运动
1044,domain,垂直,其它,招商引资
1045,domain,垂直,体育,体育运动
1046,domain,其它,其它,门户
1047,domain,垂直,体育,体育运动
1048,union,垂直,游戏,门户
1049,app,垂直,旅游,旅游地图
1050,domain,搜索,搜索,搜索导航
1051,domain,门户,综合,时事政治
1052,domain,垂直,IT科技,通讯服务
1053,domain,垂直,IT科技,通讯服务
1054,domain,垂直,财经,金融财经
1055,domain,门户,新闻,影视视频
1057,domain,垂直,音乐,音乐乐器
1058,domain,垂直,旅游,旅游地图
1059,domain,垂直,旅游,旅游地图
1061,domain,SNS,社交,社交
1062,domain,视频,客户端,影视视频
1064,domain,视频,版权,影视视频
1065,domain,门户,地方,时事政治
1066,domain,视频,版权,影视视频
1067,domain,垂直,IT科技,科技资讯
1068,domain,垂直,其它,时尚媒体
1069,domain,垂直,音乐,音乐乐器
1070,domain,其它,其它,基础网服
1071,union,网盟,综合网盟,基础网服
1073,domain,门户,地方,社交
1074,domain,垂直,其它,教育培训
1075,domain,垂直,游戏,游戏
1076,domain,垂直,游戏,游戏
1077,domain,垂直,其它,广告平台
1078,domain,网盟,综合网盟,基础网服
1079,domain,其它,其它,基础网服
1080,domain,网盟,综合网盟,基础网服
1081,domain,网盟,综合网盟,基础网服
1082,domain,门户,新闻,时事政治
1084,domain,垂直,其它,产业经济
1085,domain,垂直,其它,产业经济
1086,domain,垂直,其它,产业经济
1087,domain,垂直,IT科技,消费数码
1089,domain,SNS,BBS,科技资讯
1090,domain,电商,B2C,科技资讯
1091,union,垂直,其它,宠物花鸟
1092,domain,垂直,其它,宠物花鸟
1093,domain,垂直,其它,宠物花鸟
1094,domain,垂直,其它,宠物花鸟
1095,domain,垂直,其它,宠物花鸟
1096,domain,电商,B2B,电子商务
1097,domain,门户,新闻,时事政治
1098,domain,垂直,其它,宠物花鸟
1099,domain,垂直,其它,宠物花鸟
1100,domain,电商,C2C,电子商务
1101,domain,垂直,其它,宠物花鸟
1102,domain,电商,B2C,招商引资
1103,domain,门户,新闻,摄影
1104,domain,门户,新闻,时事政治
1105,domain,垂直,生活,电子商务
1106,domain,垂直,生活,电子商务
1107,domain,门户,新闻,时事政治
1108,domain,垂直,生活,电子商务
1109,domain,门户,综合,时事政治
1110,domain,垂直,其它,电子商务
1111,domain,垂直,其它,产业经济
1112,domain,门户,新闻,影视视频
1113,domain,视频,客户端,影视视频
1114,domain,视频,客户端,影视视频
3360,domain,垂直,IT科技,
1116,domain,垂直,体育,体育运动
1117,domain,垂直,IT科技,通讯服务
1118,domain,视频,版权,影视视频
1119,domain,垂直,其它,宠物花鸟
1120,domain,垂直,其它,宠物花鸟
1122,domain,垂直,游戏,靓丽女性
1123,company,搜索,搜索,搜索导航
1124,domain,SNS,BBS,社交
1126,domain,垂直,其它,招商引资
1127,domain,垂直,旅游,旅游地图
1128,domain,垂直,女性,靓丽女性
1129,union,网盟,综合网盟,门户
1130,domain,门户,新闻,时事政治
1131,domain,视频,UGC,影视视频
1132,domain,垂直,IT科技,科技资讯
1133,domain,垂直,IT科技,科技资讯
1134,domain,垂直,IT科技,科技资讯
1135,domain,垂直,IT科技,科技资讯
1136,domain,垂直,母婴,母婴
1137,union,网盟,综合网盟,门户
1138,domain,SNS,BBS,新车资讯
1139,domain,垂直,女性,靓丽女性
1141,domain,其它,其它,基础网服
1142,domain,垂直,IT科技,消费数码
1143,domain,垂直,其它,招商引资
1144,domain,其它,其它,消费数码
1145,domain,垂直,IT科技,科技资讯
1146,domain,门户,地方,门户
1147,domain,垂直,IT科技,消费数码
1148,domain,垂直,IT科技,消费数码
1149,domain,垂直,其它,艺术
1150,domain,垂直,游戏,游戏
1151,domain,门户,新闻,消费数码
1152,domain,垂直,游戏,游戏
1153,domain,垂直,其它,宠物花鸟
1154,domain,垂直,其它,宠物花鸟
1157,domain,垂直,IT科技,消费数码
1158,domain,SNS,BBS,消费数码
1159,domain,其它,其它,消费数码
1160,domain,门户,新闻,时事政治
1161,domain,网盟,综合网盟,基础网服
1162,domain,垂直,旅游,旅游地图
1163,domain,垂直,IT科技,通讯服务
1164,domain,垂直,其它,宠物花鸟
1165,domain,搜索,搜索,门户
1166,domain,其它,其它,基础网服
1167,domain,其它,其它,消费数码
1168,domain,垂直,生活,电子商务
1170,domain,垂直,IT科技,消费数码
1171,domain,垂直,IT科技,消费数码
1172,domain,网盟,综合网盟,基础网服
1173,domain,电商,B2C,门户
1174,union,网盟,综合网盟,基础网服
1175,domain,垂直,其它,科技资讯
1176,domain,垂直,其它,科技资讯
1177,domain,垂直,其它,科技资讯
1178,domain,垂直,其它,宠物花鸟
1179,domain,垂直,IT科技,消费数码
1180,domain,垂直,母婴,母婴
1181,domain,门户,新闻,时事政治
1182,domain,垂直,生活,电子商务
1183,domain,垂直,IT科技,时事政治
1184,domain,垂直,IT科技,消费数码
1185,domain,门户,地方,时事政治
1186,domain,垂直,旅游,旅游地图
1187,domain,垂直,文学,旅游地图
1188,domain,垂直,其它,艺术
1190,domain,垂直,其它,娱乐休闲
1191,domain,垂直,体育,体育运动
1192,domain,网盟,综合网盟,时尚媒体
1193,domain,网盟,综合网盟,旅游地图
1195,domain,SNS,BBS,消费数码
1196,domain,门户,综合,时事政治
1197,domain,垂直,其它,基础网服
1198,domain,SNS,BBS,时事政治
1199,domain,垂直,其它,教育培训
1200,app,垂直,旅游,旅游地图
1201,domain,其它,其它,门户
1204,domain,SNS,BBS,门户
1205,domain,垂直,其它,宠物花鸟
1206,domain,垂直,女性,时尚媒体
1207,domain,垂直,其它,房地产
1208,domain,垂直,其它,招聘求职
1209,domain,垂直,其它,招聘求职
1210,domain,垂直,IT科技,消费数码
1211,domain,垂直,生活,消费数码
1212,domain,垂直,IT科技,消费数码
1213,domain,垂直,IT科技,消费数码
1214,union,网盟,综合网盟,时事政治
1215,domain,垂直,游戏,游戏
1216,domain,搜索,搜索,搜索导航
1217,domain,门户,地方,时事政治
1218,domain,门户,地方,门户
1219,domain,门户,地方,时事政治
1220,domain,门户,地方,时事政治
1221,domain,门户,地方,时事政治
1222,domain,门户,地方,门户
1223,domain,门户,地方,门户
1224,domain,门户,地方,门户
1225,domain,门户,地方,门户
1226,domain,门户,地方,时事政治
1227,domain,网盟,综合网盟,门户
1228,domain,垂直,IT科技,消费数码
1229,domain,垂直,IT科技,消费数码
1230,domain,门户,地方,门户
1231,domain,垂直,IT科技,消费数码
1233,domain,垂直,IT科技,消费数码
1234,domain,垂直,IT科技,消费数码
1235,domain,垂直,IT科技,消费数码
1236,domain,垂直,IT科技,消费数码
1237,domain,门户,地方,时事政治
1238,domain,视频,版权,门户
1240,domain,垂直,IT科技,消费数码
1241,domain,垂直,IT科技,消费数码
1242,union,网盟,综合网盟,门户
1243,domain,垂直,生活,电子商务
1244,domain,搜索,搜索,健康医疗
1245,domain,垂直,母婴,母婴
1246,domain,垂直,其它,门户
1247,domain,垂直,其它,门户
1248,domain,垂直,其它,招聘求职
1249,domain,SNS,BBS,社交
1250,domain,垂直,其它,门户
1251,app,垂直,女性,门户
1252,domain,垂直,生活,门户
1253,domain,SNS,BBS,消费数码
1255,domain,垂直,IT科技,消费数码
1256,domain,垂直,女性,靓丽女性
1257,domain,门户,新闻,时事政治
1259,domain,垂直,IT科技,消费数码
1261,domain,垂直,IT科技,门户
1262,union,网盟,综合网盟,时事政治
1263,domain,垂直,IT科技,消费数码
1264,domain,门户,新闻,时事政治
1265,domain,垂直,其它,消费数码
1266,domain,垂直,汽车,新车资讯
1267,domain,垂直,IT科技,消费数码
1268,domain,垂直,音乐,音乐乐器
1269,domain,电商,C2C,电子商务
1270,domain,垂直,其它,门户
1271,union,网盟,移动网盟,基础网服
1272,domain,垂直,其它,消费数码
1274,domain,垂直,女性,时尚媒体
1275,domain,SNS,BBS,消费数码
1276,domain,垂直,其它,时尚媒体
1277,union,网盟,综合网盟,门户
1278,domain,垂直,女性,靓丽女性
1279,domain,搜索,搜索,搜索导航
1280,union,搜索,搜索,门户
1281,union,网盟,综合网盟,门户
1282,domain,垂直,游戏,游戏
1283,union,其它,其它,门户
1284,union,垂直,其它,消费数码
1285,domain,垂直,其它,消费数码
1286,union,网盟,综合网盟,门户
1287,domain,垂直,医药,健康医疗
1288,domain,垂直,体育,体育运动
1289,domain,垂直,体育,体育运动
1290,domain,垂直,游戏,游戏
1291,domain,垂直,汽车,新车资讯
1292,domain,垂直,汽车,新车资讯
1293,domain,垂直,汽车,新车资讯
1294,domain,垂直,汽车,新车资讯
1295,domain,垂直,汽车,新车资讯
1296,domain,搜索,搜索,搜索导航
1297,domain,垂直,汽车,门户
1298,domain,垂直,汽车,
1299,domain,垂直,汽车,
1300,domain,垂直,汽车,
1301,domain,垂直,汽车,
1302,domain,门户,地方,
1304,domain,垂直,汽车,
1305,domain,SNS,BBS,
1306,domain,垂直,汽车,
1307,domain,垂直,汽车,
1308,domain,门户,地方,
1309,domain,门户,地方,
1310,domain,门户,地方,
1311,domain,SNS,BBS,
1312,domain,SNS,BBS,
1313,domain,垂直,汽车,
1314,domain,垂直,汽车,
1315,domain,垂直,汽车,
1317,domain,门户,地方,
1318,domain,垂直,汽车,
1319,domain,垂直,汽车,
1320,domain,垂直,汽车,
1321,domain,垂直,汽车,
1322,domain,垂直,汽车,
1323,domain,门户,地方,
1324,domain,垂直,汽车,
1325,domain,门户,地方,
1326,domain,门户,地方,
1327,domain,SNS,微博,
1328,domain,门户,新闻,
1329,domain,门户,地方,
1330,domain,门户,新闻,
1331,domain,SNS,BBS,
1332,domain,门户,地方,
1333,domain,门户,地方,
1335,domain,垂直,IT科技,
1336,domain,垂直,财经,
1338,domain,垂直,汽车,
1339,domain,垂直,汽车,
1340,domain,门户,地方,
1341,domain,门户,地方,
1342,domain,门户,地方,
1343,domain,垂直,汽车,
1344,domain,垂直,汽车,
1345,domain,门户,地方,
1346,domain,门户,地方,
1347,domain,门户,地方,
1348,domain,视频,UGC,
1349,domain,视频,版权,
1350,domain,视频,版权,
1351,domain,视频,UGC,
1352,domain,视频,UGC,
1353,domain,视频,UGC,
1354,domain,视频,UGC,
1355,domain,视频,UGC,
1357,domain,视频,版权,
1358,domain,视频,版权,
1359,domain,门户,地方,
1360,domain,门户,地方,
1361,domain,门户,地方,
1363,domain,门户,新闻,
1364,domain,门户,新闻,
1365,domain,网盟,综合网盟,
1366,domain,垂直,财经,
1367,domain,其它,其它,
1368,domain,门户,新闻,
1369,domain,垂直,生活,
1370,domain,视频,版权,
1371,domain,视频,版权,
1372,domain,垂直,旅游,
1374,domain,垂直,文学,
1375,domain,垂直,财经,
1376,domain,门户,地方,
1377,domain,垂直,生活,
1378,domain,门户,新闻,
1379,domain,垂直,母婴,
1380,domain,垂直,其它,
1381,domain,垂直,IT科技,
1382,domain,其它,其它,
1383,domain,垂直,财经,
1384,domain,SNS,BBS,
1385,domain,门户,地方,
1386,domain,网盟,综合网盟,
1387,domain,网盟,综合网盟,
1388,domain,垂直,生活,
1389,domain,视频,版权,
1390,domain,门户,地方,
1392,domain,垂直,游戏,
1394,domain,垂直,财经,
1395,union,网盟,综合网盟,
1396,domain,垂直,财经,
1397,domain,垂直,其它,
1398,domain,门户,新闻,
1399,domain,垂直,财经,
1400,domain,SNS,BBS,
1401,domain,垂直,IT科技,
1402,domain,垂直,IT科技,
1403,union,垂直,其它,
1404,domain,SNS,BBS,
1405,domain,垂直,旅游,
1406,domain,垂直,汽车,
1407,domain,门户,地方,
1408,domain,门户,地方,
1409,domain,垂直,汽车,
1410,domain,垂直,汽车,
1411,domain,门户,地方,
1412,domain,垂直,汽车,
1413,domain,垂直,汽车,
1414,domain,门户,地方,
1415,domain,门户,地方,
1417,domain,垂直,母婴,
1419,domain,门户,地方,
1420,domain,垂直,汽车,
1421,domain,门户,地方,
1422,domain,门户,地方,
1423,union,网盟,综合网盟,广告平台
1424,domain,其它,其它,广告平台
1425,union,网盟,移动网盟,
1426,union,网盟,综合网盟,广告平台
1427,domain,垂直,游戏,
1428,domain,垂直,游戏,
1429,domain,门户,地方,
1430,domain,垂直,母婴,
1431,domain,垂直,母婴,
1432,domain,垂直,母婴,
1433,domain,垂直,母婴,
1434,domain,垂直,生活,
1435,domain,垂直,游戏,游戏
1436,domain,垂直,游戏,游戏
1437,union,网盟,综合网盟,广告平台
1438,domain,垂直,游戏,游戏
1440,domain,电商,B2C,游戏资讯
1441,domain,垂直,游戏,游戏资讯
1442,domain,垂直,其它,手机
1444,domain,其它,其它,影视客户端
1445,domain,垂直,游戏,游戏资讯
1446,domain,垂直,游戏,游戏资讯
1447,domain,垂直,音乐,
1448,domain,其它,其它,
1449,domain,网盟,综合网盟,
1450,domain,垂直,生活,
1451,domain,垂直,医药,科技资讯
1452,domain,垂直,医药,门户
1453,domain,垂直,汽车,汽车交易
1454,domain,门户,地方,门户
1455,union,网盟,移动网盟,
1456,domain,SNS,社交,
1457,domain,垂直,IT科技,
1458,domain,垂直,生活,产业经济
1459,domain,垂直,IT科技,
1460,domain,垂直,游戏,游戏
1461,domain,垂直,游戏,游戏资讯
1462,domain,垂直,游戏,游戏资讯
1463,domain,垂直,汽车,
1465,domain,垂直,汽车,
1466,domain,垂直,生活,
1467,domain,门户,新闻,
1468,domain,垂直,汽车,
1469,domain,垂直,生活,
1470,company,网盟,综合网盟,
1473,domain,门户,地方,门户
1475,domain,垂直,汽车,汽车资讯
1476,domain,门户,地方,门户
1477,domain,垂直,汽车,汽车资讯
1478,domain,垂直,生活,
1479,domain,垂直,生活,
1480,domain,门户,地方,汽车资讯
1482,domain,视频,UGC,影视视频
1483,domain,垂直,游戏,游戏资讯
1484,domain,垂直,游戏,游戏资讯
1485,domain,垂直,游戏,游戏资讯
1486,domain,垂直,游戏,游戏
1487,domain,垂直,游戏,游戏资讯
1488,domain,垂直,游戏,游戏资讯
1489,domain,垂直,其它,游戏资讯
1491,domain,其它,其它,基础网服
1493,domain,其它,其它,
1496,domain,垂直,其它,
1499,domain,垂直,女性,电子商务
1500,domain,电商,B2C,
1501,domain,网盟,综合网盟,
1502,domain,其它,其它,TrackMaster
1503,domain,SNS,BBS,
1504,domain,垂直,文学,
1505,union,网盟,移动网盟,广告平台
1506,union,网盟,移动网盟,
1507,union,垂直,其它,
1508,domain,门户,地方,
1510,domain,垂直,旅游,
1511,domain,垂直,旅游,
1512,domain,垂直,旅游,
1513,union,网盟,综合网盟,
1514,domain,门户,地方,
1515,app,垂直,IT科技,
1516,domain,垂直,生活,
1517,app,门户,综合,
1518,domain,垂直,其它,
1519,domain,垂直,IT科技,
1520,domain,网盟,综合网盟,
1522,domain,其它,其它,
1524,domain,垂直,女性,
1525,domain,垂直,生活,社交
1526,domain,门户,地方,
1527,domain,门户,地方,
1528,domain,门户,地方,
1529,domain,门户,地方,
1531,domain,垂直,汽车,
1532,domain,门户,地方,
1533,domain,门户,地方,
1534,domain,门户,地方,
1535,domain,门户,地方,
1536,domain,门户,地方,
1537,domain,垂直,汽车,
1538,domain,门户,地方,
1539,domain,门户,地方,
1540,domain,门户,地方,
1541,domain,垂直,汽车,
1542,domain,垂直,汽车,
1543,domain,垂直,汽车,
1544,domain,垂直,汽车,
1545,domain,垂直,汽车,
1546,domain,垂直,汽车,
1547,domain,垂直,汽车,
1549,domain,垂直,汽车,
1551,domain,门户,地方,
1552,domain,门户,地方,
1553,domain,门户,地方,
1554,domain,门户,地方,
1555,domain,门户,地方,
1556,domain,垂直,旅游,
1557,domain,垂直,游戏,
1558,domain,垂直,IT科技,
1560,domain,垂直,生活,
1561,domain,垂直,生活,
1562,domain,垂直,生活,
1563,domain,垂直,汽车,汽车资讯
1564,union,网盟,移动网盟,
1565,domain,垂直,IT科技,
1566,app,SNS,社交,
1567,domain,垂直,其它,门户
1568,domain,门户,地方,生活服务
1569,domain,门户,地方,门户
1570,domain,垂直,汽车,
1571,domain,垂直,体育,
1572,app,网盟,移动网盟,
1573,domain,门户,地方,社交
1574,domain,垂直,汽车,
1575,app,网盟,综合网盟,
1576,domain,垂直,游戏,游戏资讯
1577,domain,门户,地方,门户
1578,domain,SNS,BBS,门户
1581,domain,垂直,汽车,汽车资讯
1582,domain,SNS,BBS,门户
1583,domain,垂直,汽车,汽车资讯
1584,domain,垂直,汽车,汽车资讯
1585,domain,垂直,汽车,汽车资讯
1586,domain,垂直,IT科技,
1587,domain,垂直,IT科技,
1588,domain,垂直,IT科技,
1591,domain,网盟,综合网盟,
1592,domain,搜索,搜索,搜索导航
1593,domain,垂直,游戏,
1595,domain,垂直,汽车,
1596,domain,垂直,游戏,
1597,union,门户,新闻,
1598,domain,门户,新闻,
1599,company,垂直,IT科技,
1601,domain,垂直,IT科技,IT资讯
1603,domain,垂直,游戏,
1604,domain,垂直,游戏,
1605,domain,垂直,游戏,
1606,domain,垂直,游戏,
1607,domain,垂直,游戏,
1608,app,垂直,游戏,
1609,domain,垂直,游戏,
1611,domain,门户,新闻,
1612,domain,垂直,游戏,
1615,domain,垂直,游戏,
1617,domain,垂直,IT科技,
1624,domain,垂直,女性,时尚媒体
1626,domain,垂直,IT科技,IT资讯
1627,domain,门户,新闻,IT资讯
1628,domain,垂直,文学,
1629,union,网盟,综合网盟,
1630,domain,垂直,汽车,
1632,domain,垂直,游戏,
1634,domain,垂直,游戏,
1635,app,垂直,音乐,
1637,domain,SNS,BBS,
1638,domain,门户,新闻,
1639,union,网盟,综合网盟,广告平台
1640,union,网盟,移动网盟,广告平台
1641,union,网盟,综合网盟,广告平台
1642,domain,垂直,生活,
1644,domain,垂直,IT科技,
1645,domain,电商,B2C,
1646,company,视频,UGC,
1647,union,网盟,移动网盟,
1648,union,网盟,综合网盟,广告平台
1649,domain,其它,其它,
1650,domain,垂直,游戏,
1651,domain,垂直,其它,
1652,domain,垂直,生活,
1654,domain,垂直,汽车,
1655,domain,门户,地方,
1656,domain,门户,地方,
1657,domain,SNS,BBS,
1658,domain,SNS,BBS,
1659,domain,垂直,汽车,
1660,domain,门户,地方,
1661,domain,垂直,汽车,
1662,union,其它,其它,
1663,domain,垂直,文学,
